run_id;day;bread;wood;stone;event
"run_1788715223527_seed123456789";"1";"10.69";"37.71";"66.53";"Благоприятный период"
"run_1788715223527_seed123456789";"2";"11.47";"27.79";"65.09";"Благоприятный период"
"run_1788715223527_seed123456789";"3";"14.43";"29.43";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"4";"15.42";"48.20";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"5";"31.11";"40.12";"72.13";"Благоприятный период"
"run_1788715223527_seed123456789";"6";"18.59";"40.73";"72.13";"Благоприятный период"
"run_1788715223527_seed123456789";"7";"29.72";"41.72";"72.13";"Благоприятный период"
"run_1788715223527_seed123456789";"8";"28.49";"37.19";"72.13";"Благоприятный период"
"run_1788715223527_seed123456789";"9";"24.79";"37.00";"72.13";"Благоприятный период"
"run_1788715223527_seed123456789";"10";"29.61";"46.33";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"11";"23.19";"46.20";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"12";"24.44";"46.19";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"13";"23.42";"47.34";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"14";"28.61";"41.71";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"15";"23.65";"41.73";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"16";"23.01";"42.30";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"17";"23.80";"42.10";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"18";"26.03";"38.08";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"19";"23.46";"43.93";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"20";"29.50";"41.97";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"21";"29.32";"37.88";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"22";"24.08";"44.08";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"23";"23.62";"40.38";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"24";"35.58";"48.24";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"25";"24.46";"44.32";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"26";"24.89";"58.59";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"27";"36.11";"46.85";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"28";"18.25";"37.46";"76.93";"Благоприятный период"
"run_1788715223527_seed123456789";"29";"24.32";"48.02";"72.13";"Благоприятный период"
"run_1788715223527_seed123456789";"30";"30.31";"40.64";"72.13";"Благоприятный период"
