latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.79965,12.2274885,82.0,7200,Europe/Rome,GMT+2

time,temperature_2m (°C),precipitation (mm),snowfall (cm),rain (mm),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2024-01-01T00:00,7.2,1.60,0.00,1.60,5.5,5.1,8,23.8
2024-01-01T01:00,6.9,1.10,0.00,1.10,5.4,3.3,13,22.7
2024-01-01T02:00,6.5,0.70,0.00,0.70,4.8,4.0,355,7.6
2024-01-01T03:00,7.2,1.10,0.00,1.10,4.9,8.2,311,15.1
2024-01-01T04:00,7.0,0.10,0.00,0.10,4.9,6.6,299,16.2
2024-01-01T05:00,6.2,0.00,0.00,0.00,4.0,6.7,286,13.7
2024-01-01T06:00,4.6,0.00,0.00,0.00,2.4,4.4,305,11.5
2024-01-01T07:00,3.5,0.00,0.00,0.00,1.3,3.1,324,9.0
2024-01-01T08:00,2.9,0.00,0.00,0.00,0.7,2.3,321,8.3
2024-01-01T09:00,2.9,0.00,0.00,0.00,0.5,3.6,315,8.6
2024-01-01T10:00,3.2,0.00,0.00,0.00,0.4,7.2,323,13.0
2024-01-01T11:00,6.5,0.00,0.00,0.00,4.0,7.3,340,14.4
2024-01-01T12:00,8.6,0.00,0.00,0.00,6.8,6.1,360,14.4
2024-01-01T13:00,9.9,0.00,0.00,0.00,7.9,6.0,25,14.0
2024-01-01T14:00,10.8,0.00,0.00,0.00,8.7,7.4,39,16.6
2024-01-01T15:00,10.6,0.00,0.00,0.00,8.9,7.2,90,21.2
2024-01-01T16:00,10.1,0.00,0.00,0.00,8.9,3.7,101,15.8
2024-01-01T17:00,8.8,0.00,0.00,0.00,7.6,3.6,360,7.6
2024-01-01T18:00,5.5,0.00,0.00,0.00,3.4,6.0,335,7.2
2024-01-01T19:00,5.4,0.00,0.00,0.00,3.6,3.8,311,8.3
2024-01-01T20:00,4.9,0.00,0.00,0.00,3.0,3.1,306,7.6
2024-01-01T21:00,3.8,0.00,0.00,0.00,1.6,3.6,307,9.0
2024-01-01T22:00,2.4,0.00,0.00,0.00,0.1,3.8,311,9.7
2024-01-01T23:00,1.7,0.00,0.00,0.00,-1.0,5.6,310,12.2
2024-01-02T00:00,1.7,0.00,0.00,0.00,-1.1,6.1,315,12.6
2024-01-02T01:00,1.6,0.00,0.00,0.00,-1.1,4.1,322,12.6
2024-01-02T02:00,1.5,0.00,0.00,0.00,-1.5,5.6,315,11.5
2024-01-02T03:00,2.0,0.00,0.00,0.00,-1.3,7.2,307,14.0
2024-01-02T04:00,1.5,0.00,0.00,0.00,-1.7,5.8,300,13.7
2024-01-02T05:00,1.2,0.00,0.00,0.00,-2.2,6.4,297,12.6
2024-01-02T06:00,1.3,0.00,0.00,0.00,-2.1,5.6,297,13.0
2024-01-02T07:00,0.9,0.00,0.00,0.00,-2.5,5.5,302,11.9
2024-01-02T08:00,1.2,0.00,0.00,0.00,-2.0,3.9,304,11.2
2024-01-02T09:00,1.1,0.00,0.00,0.00,-1.8,3.1,306,7.9
2024-01-02T10:00,2.1,0.00,0.00,0.00,-0.8,3.1,306,7.2
2024-01-02T11:00,3.9,0.00,0.00,0.00,1.2,2.5,225,8.3
2024-01-02T12:00,5.0,0.00,0.00,0.00,2.1,4.2,200,13.0
2024-01-02T13:00,5.2,0.00,0.00,0.00,2.7,2.7,203,13.0
2024-01-02T14:00,5.7,0.00,0.00,0.00,3.3,3.5,156,11.9
2024-01-02T15:00,6.4,0.00,0.00,0.00,4.1,6.4,207,18.0
2024-01-02T16:00,6.4,0.00,0.00,0.00,4.1,6.3,204,16.2
2024-01-02T17:00,5.8,0.00,0.00,0.00,3.9,3.0,194,14.4
