latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.27592,39.705883,33.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),precipitation (mm),snowfall (cm),rain (mm),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2024-01-01T00:00,1.4,0.00,0.00,0.00,-2.9,14.3,260,25.6
2024-01-01T01:00,1.0,0.00,0.00,0.00,-3.1,13.1,261,24.5
2024-01-01T02:00,0.8,0.00,0.00,0.00,-3.4,13.3,257,23.0
2024-01-01T03:00,0.8,0.00,0.00,0.00,-3.4,13.6,259,23.4
2024-01-01T04:00,0.2,0.00,0.00,0.00,-3.7,11.7,252,19.8
2024-01-01T05:00,0.4,0.00,0.00,0.00,-3.7,12.5,252,21.6
2024-01-01T06:00,0.4,0.00,0.00,0.00,-3.6,12.2,251,21.2
2024-01-01T07:00,0.2,0.00,0.00,0.00,-3.6,11.5,250,20.5
2024-01-01T08:00,0.0,0.00,0.00,0.00,-3.8,11.0,251,19.8
2024-01-01T09:00,0.6,0.00,0.00,0.00,-3.2,11.6,248,19.8
2024-01-01T10:00,2.2,0.00,0.00,0.00,-1.6,13.1,249,23.8
2024-01-01T11:00,3.6,0.00,0.00,0.00,-0.4,14.8,252,28.8
2024-01-01T12:00,4.6,0.00,0.00,0.00,0.6,15.1,252,29.5
2024-01-01T13:00,5.3,0.00,0.00,0.00,1.3,15.0,249,29.5
2024-01-01T14:00,5.4,0.00,0.00,0.00,1.7,13.2,244,29.9
2024-01-01T15:00,5.2,0.00,0.00,0.00,2.1,9.4,238,26.3
2024-01-01T16:00,3.1,0.00,0.00,0.00,0.5,4.8,193,17.3
2024-01-01T17:00,0.3,0.00,0.00,0.00,-3.4,10.0,167,12.2
2024-01-01T18:00,0.8,0.00,0.00,0.00,-2.4,7.4,166,12.2
2024-01-01T19:00,0.7,0.00,0.00,0.00,-2.7,8.9,166,14.8
2024-01-01T20:00,0.4,0.00,0.00,0.00,-3.1,9.0,143,14.8
2024-01-01T21:00,0.2,0.00,0.00,0.00,-3.4,9.5,143,16.2
2024-01-01T22:00,0.3,0.00,0.00,0.00,-3.6,11.0,148,18.0
2024-01-01T23:00,0.9,0.00,0.00,0.00,-3.2,12.9,153,22.0
2024-01-02T00:00,2.3,0.00,0.00,0.00,-1.9,13.7,157,24.1
2024-01-02T01:00,3.0,0.00,0.00,0.00,-1.0,13.5,164,23.8
2024-01-02T02:00,3.4,0.00,0.00,0.00,-0.6,14.3,168,24.8
2024-01-02T03:00,3.6,0.00,0.00,0.00,-0.5,15.2,173,26.6
2024-01-02T04:00,3.3,0.00,0.00,0.00,-0.6,14.1,174,24.8
2024-01-02T05:00,4.2,0.10,0.00,0.10,0.2,15.9,186,27.0
2024-01-02T06:00,4.7,0.60,0.00,0.60,0.9,17.0,185,29.9
2024-01-02T07:00,5.7,0.80,0.00,0.80,1.9,17.9,190,32.0
2024-01-02T08:00,6.5,0.40,0.00,0.40,2.9,17.4,202,31.3
2024-01-02T09:00,7.3,0.00,0.00,0.00,3.5,19.6,206,32.8
2024-01-02T10:00,8.4,0.00,0.00,0.00,4.1,24.6,215,43.2
2024-01-02T11:00,9.3,0.00,0.00,0.00,5.1,24.8,221,43.9
2024-01-02T12:00,10.2,0.00,0.00,0.00,6.1,25.0,220,45.4
2024-01-02T13:00,10.6,0.00,0.00,0.00,6.4,25.7,227,47.2
2024-01-02T14:00,9.9,0.20,0.00,0.20,5.9,24.8,240,46.8
2024-01-02T15:00,9.1,0.00,0.00,0.00,4.8,25.6,246,46.1
2024-01-02T16:00,6.8,0.00,0.00,0.00,2.6,20.8,240,42.8
2024-01-02T17:00,5.7,0.00,0.00,0.00,2.0,16.6,240,36.4
2024-01-02T18:00,6.0,0.00,0.00,0.00,2.5,15.6,241,29.2
2024-01-02T19:00,5.9,0.00,0.00,0.00,2.5,15.0,243,28.1
2024-01-02T20:00,5.5,0.10,0.00,0.10,2.2,13.8,250,26.6
2024-01-02T21:00,5.0,0.70,0.00,0.70,1.9,12.6,243,24.5
2024-01-02T22:00,4.8,0.70,0.00,0.70,1.2,15.0,240,25.9
2024-01-02T23:00,4.4,0.50,0.00,0.50,0.7,15.6,251,27.7
2024-01-03T00:00,4.1,0.70,0.00,0.70,0.5,14.2,254,27.0
2024-01-03T01:00,4.0,0.90,0.00,0.90,0.3,14.8,257,26.3
2024-01-03T02:00,3.8,1.10,0.00,1.10,0.1,14.7,259,25.9
2024-01-03T03:00,3.8,0.90,0.00,0.90,0.0,15.2,256,28.1
2024-01-03T04:00,2.9,0.10,0.00,0.10,-1.2,16.2,249,28.4
2024-01-03T05:00,3.0,0.00,0.00,0.00,-1.4,18.1,247,31.3
2024-01-03T06:00,2.9,0.00,0.00,0.00,-1.7,19.6,253,34.6
2024-01-03T07:00,2.8,0.00,0.00,0.00,-1.7,18.6,260,34.9
2024-01-03T08:00,2.4,0.00,0.00,0.00,-2.1,17.9,260,32.8
2024-01-03T09:00,2.2,0.00,0.00,0.00,-2.5,18.9,257,32.8
2024-01-03T10:00,3.1,0.00,0.00,0.00,-2.0,21.8,262,38.9
2024-01-03T11:00,3.0,0.00,0.00,0.00,-2.7,23.9,275,46.1
2024-01-03T12:00,3.1,0.00,0.00,0.00,-2.9,24.5,270,46.4
2024-01-03T13:00,3.8,0.00,0.00,0.00,-2.6,27.0,268,50.4
2024-01-03T14:00,4.0,0.00,0.00,0.00,-2.2,24.9,266,50.4
