latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.676624,139.69112,40.0,32400,Asia/Tokyo,GMT+9

time,temperature_2m (°C),precipitation (mm),snowfall (cm),rain (mm),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h)
2024-01-01T00:00,10.3,0.00,0.00,0.00,4.3,31.1,317,42.5
2024-01-01T01:00,10.3,0.00,0.00,0.00,2.7,40.1,320,55.8
2024-01-01T02:00,10.2,0.00,0.00,0.00,2.6,40.0,316,61.9
2024-01-01T03:00,9.8,0.00,0.00,0.00,2.1,39.7,314,58.3
2024-01-01T04:00,9.0,0.00,0.00,0.00,0.5,44.4,320,63.7
2024-01-01T05:00,8.3,0.00,0.00,0.00,-1.4,51.3,324,73.8
2024-01-01T06:00,7.8,0.00,0.00,0.00,-1.3,46.7,331,73.8
2024-01-01T07:00,7.3,0.00,0.00,0.00,-1.1,41.6,337,67.3
2024-01-01T08:00,7.6,0.00,0.00,0.00,-0.4,38.6,339,59.8
2024-01-01T09:00,8.7,0.00,0.00,0.00,0.5,39.5,335,60.1
2024-01-01T10:00,9.8,0.00,0.00,0.00,0.3,47.1,330,69.1
2024-01-01T11:00,9.9,0.00,0.00,0.00,0.5,45.9,331,70.2
2024-01-01T12:00,10.5,0.00,0.00,0.00,1.3,45.1,334,68.4
2024-01-01T13:00,10.7,0.00,0.00,0.00,2.0,40.6,341,67.3
2024-01-01T14:00,10.4,0.00,0.00,0.00,2.2,36.8,344,60.8
2024-01-01T15:00,9.8,0.00,0.00,0.00,1.8,34.7,345,54.7
2024-01-01T16:00,8.3,0.00,0.00,0.00,1.0,30.6,345,50.8
2024-01-01T17:00,6.1,0.00,0.00,0.00,-0.6,27.2,342,44.3
2024-01-01T18:00,5.0,0.00,0.00,0.00,-0.5,19.6,343,39.2
2024-01-01T19:00,4.2,0.00,0.00,0.00,0.1,11.0,341,27.7
2024-01-01T20:00,3.6,0.00,0.00,0.00,-0.4,10.8,345,14.8
2024-01-01T21:00,2.8,0.00,0.00,0.00,-1.0,9.1,351,14.0
2024-01-01T22:00,2.5,0.00,0.00,0.00,-1.5,10.2,321,19.4
2024-01-01T23:00,2.0,0.00,0.00,0.00,-2.2,11.9,305,16.2
2024-01-02T00:00,1.6,0.00,0.00,0.00,-2.7,12.3,320,16.9
2024-01-02T01:00,1.1,0.00,0.00,0.00,-3.3,12.3,328,17.6
2024-01-02T02:00,1.2,0.00,0.00,0.00,-3.1,12.1,333,17.6
2024-01-02T03:00,0.8,0.00,0.00,0.00,-3.5,12.1,330,17.6
2024-01-02T04:00,0.2,0.00,0.00,0.00,-4.1,12.2,336,17.6
2024-01-02T05:00,-0.2,0.00,0.00,0.00,-4.6,12.6,329,18.0
2024-01-02T06:00,0.2,0.00,0.00,0.00,-4.2,12.3,339,18.0
2024-01-02T07:00,0.9,0.00,0.00,0.00,-3.1,10.4,340,18.0
2024-01-02T08:00,1.8,0.00,0.00,0.00,-1.8,7.7,332,15.8
2024-01-02T09:00,3.2,0.00,0.00,0.00,-0.4,8.4,353,15.5
2024-01-02T10:00,5.1,0.00,0.00,0.00,0.7,13.4,355,22.3
2024-01-02T11:00,6.5,0.00,0.00,0.00,2.2,12.6,3,22.7
2024-01-02T12:00,7.8,0.00,0.00,0.00,4.0,10.1,6,22.0
2024-01-02T13:00,7.4,0.00,0.00,0.00,4.1,7.6,360,19.1
2024-01-02T14:00,7.2,0.30,0.00,0.30,4.7,3.1,54,13.7
2024-01-02T15:00,7.2,0.20,0.00,0.20,4.9,3.3,131,8.6
2024-01-02T16:00,7.2,0.00,0.00,0.00,4.9,4.3,156,7.6
2024-01-02T17:00,6.9,0.00,0.00,0.00,4.8,4.7,279,7.6
2024-01-02T18:00,4.9,0.00,0.00,0.00,1.8,10.0,308,16.2
2024-01-02T19:00,4.1,0.00,0.00,0.00,1.1,9.5,323,13.7
2024-01-02T20:00,3.6,0.00,0.00,0.00,0.2,11.3,329,15.1
2024-01-02T21:00,3.5,0.00,0.00,0.00,-0.2,13.1,339,17.3
2024-01-02T22:00,3.8,0.00,0.00,0.00,0.3,10.5,354,19.1
2024-01-02T23:00,3.0,0.00,0.00,0.00,-0.5,10.9,333,14.4
2024-01-03T00:00,2.8,0.00,0.00,0.00,-0.9,11.5,340,15.5
2024-01-03T01:00,2.4,0.00,0.00,0.00,-1.5,12.4,334,17.3
2024-01-03T02:00,2.4,0.00,0.00,0.00,-1.6,13.0,326,18.4
2024-01-03T03:00,2.1,0.00,0.00,0.00,-1.9,12.5,321,18.0
2024-01-03T04:00,1.5,0.00,0.00,0.00,-2.4,11.3,338,17.3
2024-01-03T05:00,1.0,0.00,0.00,0.00,-3.0,11.8,333,15.8
2024-01-03T06:00,1.2,0.00,0.00,0.00,-3.0,12.8,328,17.6
2024-01-03T07:00,1.3,0.00,0.00,0.00,-2.6,11.5,321,18.0
2024-01-03T08:00,2.4,0.00,0.00,0.00,-1.1,8.9,310,15.8
2024-01-03T09:00,4.9,0.00,0.00,0.00,1.8,7.1,330,14.4
2024-01-03T10:00,7.0,0.00,0.00,0.00,3.8,9.3,344,17.6
2024-01-03T11:00,8.8,0.00,0.00,0.00,5.6,9.7,345,18.4
2024-01-03T12:00,10.2,0.00,0.00,0.00,7.0,9.4,360,18.0
2024-01-03T13:00,11.5,0.00,0.00,0.00,8.6,8.2,23,18.4
2024-01-03T14:00,11.8,0.00,0.00,0.00,9.2,6.6,68,16.6
2024-01-03T15:00,11.7,0.00,0.00,0.00,9.3,5.8,86,13.7
2024-01-03T16:00,11.3,0.00,0.00,0.00,9.3,5.8,94,10.4
2024-01-03T17:00,9.8,0.00,0.00,0.00,8.1,4.2,160,7.9
2024-01-03T18:00,9.6,0.00,0.00,0.00,8.1,3.6,186,5.8
2024-01-03T19:00,10.1,0.00,0.00,0.00,8.6,2.9,180,4.3
2024-01-03T20:00,8.9,0.00,0.00,0.00,7.3,5.4,228,6.5
2024-01-03T21:00,9.8,0.00,0.00,0.00,8.5,1.6,333,6.5
2024-01-03T22:00,6.3,0.00,0.00,0.00,3.8,8.7,5,10.8
2024-01-03T23:00,5.9,0.00,0.00,0.00,3.5,9.3,347,12.6
2024-01-04T00:00,5.7,0.00,0.00,0.00,3.2,8.6,2,15.1
2024-01-04T01:00,5.5,0.00,0.00,0.00,3.2,7.0,21,12.2
2024-01-04T02:00,5.5,0.00,0.00,0.00,2.9,8.8,12,13.0
2024-01-04T03:00,5.9,0.00,0.00,0.00,2.9,11.2,356,15.1
2024-01-04T04:00,5.7,0.10,0.00,0.10,2.9,9.0,337,16.9
2024-01-04T05:00,5.7,0.60,0.00,0.60,2.5,12.3,345,16.2
2024-01-04T06:00,5.5,0.20,0.00,0.20,2.2,12.8,350,22.7
2024-01-04T07:00,4.8,0.00,0.00,0.00,1.2,13.9,350,19.8
2024-01-04T08:00,6.5,0.00,0.00,0.00,1.7,22.7,331,33.1
2024-01-04T09:00,7.7,0.10,0.00,0.10,1.4,30.6,342,44.6
2024-01-04T10:00,11.0,0.00,0.00,0.00,5.4,27.8,356,41.8
2024-01-04T11:00,12.7,0.00,0.00,0.00,4.8,39.7,338,57.2
2024-01-04T12:00,12.9,0.00,0.00,0.00,4.3,45.0,328,65.9
2024-01-04T13:00,13.1,0.00,0.00,0.00,3.4,50.8,327,74.2
2024-01-04T14:00,13.0,0.00,0.00,0.00,3.2,50.3,330,74.9
2024-01-04T15:00,11.6,0.00,0.00,0.00,2.4,46.8,325,73.8
2024-01-04T16:00,9.8,0.00,0.00,0.00,0.9,45.0,330,68.0
2024-01-04T17:00,7.9,0.00,0.00,0.00,0.2,36.0,338,65.2
2024-01-04T18:00,7.1,0.00,0.00,0.00,0.4,29.5,340,51.8
2024-01-04T19:00,6.3,0.00,0.00,0.00,0.1,25.7,338,42.5
2024-01-04T20:00,5.5,0.00,0.00,0.00,-0.3,22.9,344,36.7
2024-01-04T21:00,4.7,0.00,0.00,0.00,-0.6,19.8,357,32.8
2024-01-04T22:00,5.4,0.00,0.00,0.00,-0.1,21.0,353,30.6
2024-01-04T23:00,4.9,0.00,0.00,0.00,-0.7,20.9,341,30.2
2024-01-05T00:00,3.9,0.00,0.00,0.00,-1.2,18.5,347,29.9
2024-01-05T01:00,2.5,0.00,0.00,0.00,-1.6,11.8,348,26.3
2024-01-05T02:00,1.3,0.00,0.00,0.00,-2.8,11.6,330,15.8
2024-01-05T03:00,0.7,0.00,0.00,0.00,-3.3,10.9,333,16.2
2024-01-05T04:00,0.3,0.00,0.00,0.00,-3.6,10.5,329,15.1
2024-01-05T05:00,-0.1,0.00,0.00,0.00,-4.0,10.3,324,14.8
2024-01-05T06:00,0.6,0.00,0.00,0.00,-3.1,8.7,322,14.4
2024-01-05T07:00,0.3,0.00,0.00,0.00,-3.3,7.8,326,12.2
2024-01-05T08:00,0.9,0.00,0.00,0.00,-2.8,9.4,337,15.1
2024-01-05T09:00,3.3,0.00,0.00,0.00,-0.1,8.9,339,16.6
2024-01-05T10:00,5.9,0.00,0.00,0.00,2.0,10.2,352,19.8
2024-01-05T11:00,7.8,0.00,0.00,0.00,4.4,7.3,9,20.2
2024-01-05T12:00,9.3,0.00,0.00,0.00,6.3,5.4,48,17.3
2024-01-05T13:00,10.5,0.00,0.00,0.00,8.0,3.7,79,14.8
2024-01-05T14:00,11.3,0.00,0.00,0.00,8.9,4.4,125,13.7
2024-01-05T15:00,11.7,0.00,0.00,0.00,9.4,5.8,97,12.6
2024-01-05T16:00,11.5,0.00,0.00,0.00,8.9,9.7,63,13.3
2024-01-05T17:00,8.8,0.00,0.00,0.00,6.0,11.0,23,15.1
2024-01-05T18:00,7.5,0.00,0.00,0.00,4.0,14.0,359,18.4
2024-01-05T19:00,6.9,0.00,0.00,0.00,3.1,13.7,358,20.9
2024-01-05T20:00,5.9,0.00,0.00,0.00,2.2,12.3,353,18.7
2024-01-05T21:00,4.8,0.00,0.00,0.00,1.2,11.1,347,16.6
2024-01-05T22:00,5.0,0.00,0.00,0.00,2.0,7.3,327,14.0
2024-01-05T23:00,4.1,0.00,0.00,0.00,1.3,5.9,308,8.6
2024-01-06T00:00,3.8,0.00,0.00,0.00,0.7,7.4,299,8.6
2024-01-06T01:00,3.7,0.00,0.00,0.00,0.3,9.0,286,10.8
2024-01-06T02:00,3.5,0.00,0.00,0.00,0.3,7.0,291,10.8
2024-01-06T03:00,5.9,0.00,0.00,0.00,3.1,4.0,297,7.9
2024-01-06T04:00,3.9,0.00,0.00,0.00,0.9,5.3,332,5.8
2024-01-06T05:00,1.5,0.00,0.00,0.00,-1.9,7.6,341,8.6
2024-01-06T06:00,0.9,0.00,0.00,0.00,-2.6,8.7,343,9.7
2024-01-06T07:00,0.4,0.00,0.00,0.00,-3.1,7.9,336,10.4
2024-01-06T08:00,2.6,0.00,0.00,0.00,-0.3,4.8,318,9.4
2024-01-06T09:00,5.5,0.00,0.00,0.00,3.3,2.2,351,8.6
2024-01-06T10:00,7.9,0.00,0.00,0.00,5.2,5.4,360,14.4
2024-01-06T11:00,10.2,0.00,0.00,0.00,7.7,4.6,18,13.7
2024-01-06T12:00,11.8,0.00,0.00,0.00,8.8,8.1,21,17.3
2024-01-06T13:00,13.0,0.00,0.00,0.00,10.1,6.6,29,18.4
2024-01-06T14:00,13.9,0.00,0.00,0.00,11.4,3.8,343,15.8
2024-01-06T15:00,14.1,0.00,0.00,0.00,11.6,5.0,330,11.9
2024-01-06T16:00,13.1,0.00,0.00,0.00,10.9,6.1,28,11.2
2024-01-06T17:00,10.2,0.00,0.00,0.00,7.4,9.4,58,10.8
2024-01-06T18:00,9.3,0.00,0.00,0.00,6.3,9.5,79,11.2
2024-01-06T19:00,9.2,0.00,0.00,0.00,6.7,6.8,115,11.5
2024-01-06T20:00,10.9,0.00,0.00,0.00,8.8,4.4,235,7.9
2024-01-06T21:00,7.1,0.00,0.00,0.00,3.9,10.6,294,11.5
2024-01-06T22:00,6.0,0.00,0.00,0.00,2.1,15.1,3,20.9
2024-01-06T23:00,5.8,0.00,0.00,0.00,3.3,5.1,4,20.5
2024-01-07T00:00,7.2,0.00,0.00,0.00,4.7,4.1,15,6.1
2024-01-07T01:00,6.0,0.00,0.00,0.00,3.3,5.7,162,5.8
2024-01-07T02:00,6.0,0.00,0.00,0.00,3.1,6.4,106,7.2
2024-01-07T03:00,4.6,0.00,0.00,0.00,1.1,9.7,68,10.8
2024-01-07T04:00,3.9,0.00,0.00,0.00,0.3,10.5,38,12.2
2024-01-07T05:00,2.7,0.00,0.00,0.00,-1.3,13.4,354,17.3
2024-01-07T06:00,3.8,0.00,0.00,0.00,-1.1,19.9,338,26.3
2024-01-07T07:00,4.7,0.00,0.00,0.00,-2.4,32.5,339,45.4
2024-01-07T08:00,5.7,0.00,0.00,0.00,-1.2,30.6,340,47.2
2024-01-07T09:00,7.0,0.00,0.00,0.00,0.9,24.1,359,47.5
2024-01-07T10:00,9.5,0.00,0.00,0.00,1.2,36.8,352,55.4
2024-01-07T11:00,10.0,0.00,0.00,0.00,2.8,29.2,357,55.4
2024-01-07T12:00,10.3,0.00,0.00,0.00,4.2,21.8,13,44.6
2024-01-07T13:00,10.8,0.00,0.00,0.00,5.9,14.2,27,34.6
2024-01-07T14:00,10.5,0.00,0.00,0.00,6.6,8.0,54,24.5
2024-01-07T15:00,9.9,0.00,0.00,0.00,6.0,8.9,104,14.8
2024-01-07T16:00,9.1,0.00,0.00,0.00,5.1,11.8,121,18.0
2024-01-07T17:00,8.3,0.00,0.00,0.00,4.5,11.4,101,16.9
2024-01-07T18:00,7.7,0.00,0.00,0.00,3.5,14.4,86,21.2
2024-01-07T19:00,6.1,0.00,0.00,0.00,2.1,14.4,32,20.2
2024-01-07T20:00,4.5,0.30,0.00,0.30,0.9,10.9,17,23.4
2024-01-07T21:00,4.1,0.00,0.00,0.00,-0.0,15.1,342,22.0
2024-01-07T22:00,4.8,0.00,0.00,0.00,0.0,19.0,345,19.8
2024-01-07T23:00,3.2,0.00,0.00,0.00,-1.3,15.2,353,39.6
2024-01-08T00:00,2.2,0.00,0.00,0.00,-2.3,16.3,335,22.0
2024-01-08T01:00,1.4,0.00,0.00,0.00,-3.7,19.4,350,27.4
2024-01-08T02:00,1.9,0.00,0.00,0.00,-3.6,20.3,343,31.3
2024-01-08T03:00,1.2,0.00,0.00,0.00,-3.9,16.5,337,28.8
2024-01-08T04:00,1.7,0.00,0.00,0.00,-5.6,29.8,328,41.4
2024-01-08T05:00,1.8,0.00,0.00,0.00,-5.9,31.8,327,45.7
2024-01-08T06:00,1.6,0.00,0.00,0.00,-5.2,25.8,333,46.4
2024-01-08T07:00,0.7,0.00,0.00,0.00,-4.8,17.6,334,37.1
2024-01-08T08:00,1.7,0.00,0.00,0.00,-3.3,14.0,331,24.5
2024-01-08T09:00,4.4,0.00,0.00,0.00,-0.4,12.4,350,20.5
2024-01-08T10:00,7.1,0.00,0.00,0.00,1.3,18.9,336,27.7
2024-01-08T11:00,8.3,0.00,0.00,0.00,0.9,28.0,316,43.6
2024-01-08T12:00,8.9,0.00,0.00,0.00,1.3,29.0,315,45.0
2024-01-08T13:00,9.4,0.00,0.00,0.00,1.6,29.4,320,46.4
2024-01-08T14:00,9.2,0.00,0.00,0.00,1.8,27.9,330,45.7
2024-01-08T15:00,8.4,0.00,0.00,0.00,1.1,27.6,345,43.2
2024-01-08T16:00,5.7,0.00,0.00,0.00,-1.4,27.4,360,43.2
2024-01-08T17:00,4.0,0.00,0.00,0.00,-1.2,15.2,346,40.3
2024-01-08T18:00,3.3,0.00,0.00,0.00,-1.8,14.2,351,21.2
2024-01-08T19:00,2.6,0.00,0.00,0.00,-2.6,15.3,351,22.0
2024-01-08T20:00,1.6,0.00,0.00,0.00,-3.3,12.6,357,21.6
2024-01-08T21:00,0.6,0.00,0.00,0.00,-4.3,13.6,349,19.4
2024-01-08T22:00,1.4,0.00,0.00,0.00,-4.0,16.5,344,27.0
2024-01-08T23:00,1.1,0.00,0.00,0.00,-4.2,15.9,354,23.4
2024-01-09T00:00,0.4,0.00,0.00,0.00,-4.6,14.4,356,23.0
2024-01-09T01:00,-0.2,0.00,0.00,0.00,-5.2,14.2,353,20.2
2024-01-09T02:00,-0.9,0.00,0.00,0.00,-5.6,12.8,349,20.2
2024-01-09T03:00,-1.5,0.00,0.00,0.00,-6.0,11.4,342,18.0
2024-01-09T04:00,-1.9,0.00,0.00,0.00,-6.4,11.3,333,15.8
2024-01-09T05:00,-2.3,0.00,0.00,0.00,-6.9,11.4,332,15.8
2024-01-09T06:00,-2.8,0.00,0.00,0.00,-7.3,11.1,335,16.2
2024-01-09T07:00,-3.1,0.00,0.00,0.00,-7.6,10.7,327,15.8
2024-01-09T08:00,-1.7,0.00,0.00,0.00,-6.0,9.0,323,15.1
2024-01-09T09:00,0.9,0.00,0.00,0.00,-3.0,6.4,333,15.1
2024-01-09T10:00,4.2,0.00,0.00,0.00,-0.0,8.3,355,19.1
2024-01-09T11:00,5.9,0.00,0.00,0.00,2.1,5.8,7,18.0
2024-01-09T12:00,7.1,0.00,0.00,0.00,4.2,0.5,45,15.8
2024-01-09T13:00,7.8,0.00,0.00,0.00,4.7,3.1,216,13.3
2024-01-09T14:00,8.5,0.00,0.00,0.00,5.5,3.7,119,13.0
2024-01-09T15:00,8.8,0.00,0.00,0.00,5.7,5.4,94,13.3
2024-01-09T16:00,8.5,0.00,0.00,0.00,5.2,7.0,69,13.7
2024-01-09T17:00,6.5,0.00,0.00,0.00,3.4,6.9,43,11.5
2024-01-09T18:00,5.5,0.00,0.00,0.00,2.4,7.0,21,8.6
2024-01-09T19:00,4.8,0.00,0.00,0.00,1.0,10.5,4,13.3
2024-01-09T20:00,3.6,0.00,0.00,0.00,-0.0,9.0,2,13.3
2024-01-09T21:00,2.6,0.00,0.00,0.00,-0.9,8.0,355,11.5
2024-01-09T22:00,2.9,0.00,0.00,0.00,-1.4,11.5,2,15.5
2024-01-09T23:00,1.7,0.00,0.00,0.00,-2.1,8.0,355,15.5
2024-01-10T00:00,1.3,0.00,0.00,0.00,-2.8,9.2,318,10.8
2024-01-10T01:00,0.6,0.00,0.00,0.00,-3.3,8.4,320,13.7
2024-01-10T02:00,-0.3,0.00,0.00,0.00,-4.0,7.3,340,10.4
2024-01-10T03:00,-0.6,0.00,0.00,0.00,-4.6,9.2,312,10.1
2024-01-10T04:00,-0.6,0.00,0.00,0.00,-4.9,10.4,304,13.7
2024-01-10T05:00,-1.2,0.00,0.00,0.00,-5.1,8.2,319,13.0
2024-01-10T06:00,-1.3,0.00,0.00,0.00,-5.2,8.0,262,9.7
2024-01-10T07:00,-1.3,0.00,0.00,0.00,-5.3,7.9,300,10.1
2024-01-10T08:00,1.0,0.00,0.00,0.00,-2.9,7.1,315,13.0
2024-01-10T09:00,3.8,0.00,0.00,0.00,0.5,4.6,309,11.2
2024-01-10T10:00,7.1,0.00,0.00,0.00,3.7,5.9,346,14.4
2024-01-10T11:00,9.6,0.00,0.00,0.00,6.4,4.5,29,14.4
2024-01-10T12:00,11.0,0.00,0.00,0.00,7.4,7.3,33,16.9
2024-01-10T13:00,12.0,0.00,0.00,0.00,7.2,15.8,12,26.3
2024-01-10T14:00,12.6,0.00,0.00,0.00,7.2,19.5,2,31.0
2024-01-10T15:00,12.5,0.00,0.00,0.00,7.2,18.6,351,31.0
2024-01-10T16:00,10.8,0.00,0.00,0.00,4.3,26.4,322,38.2
2024-01-10T17:00,8.9,0.00,0.00,0.00,2.1,28.7,336,44.3
2024-01-10T18:00,7.4,0.00,0.00,0.00,2.0,20.4,351,41.4
2024-01-10T19:00,6.4,0.00,0.00,0.00,1.0,19.1,338,29.5
2024-01-10T20:00,5.5,0.00,0.00,0.00,0.3,18.1,354,27.4
2024-01-10T21:00,4.4,0.00,0.00,0.00,-0.8,17.6,359,26.6
2024-01-10T22:00,5.6,0.00,0.00,0.00,0.1,19.6,347,28.8
2024-01-10T23:00,4.5,0.00,0.00,0.00,-1.3,21.1,352,32.0
2024-01-11T00:00,3.5,0.00,0.00,0.00,-1.7,17.7,4,31.0
2024-01-11T01:00,3.1,0.00,0.00,0.00,-2.3,18.8,5,28.1
2024-01-11T02:00,3.1,0.00,0.00,0.00,-2.7,21.3,358,31.0
2024-01-11T03:00,2.3,0.00,0.00,0.00,-3.6,21.3,354,31.3
2024-01-11T04:00,1.6,0.00,0.00,0.00,-4.4,22.2,352,32.4
2024-01-11T05:00,0.7,0.00,0.00,0.00,-5.0,19.5,348,32.0
2024-01-11T06:00,0.3,0.00,0.00,0.00,-5.7,21.5,346,31.3
2024-01-11T07:00,0.3,0.00,0.00,0.00,-6.1,23.9,342,34.9
2024-01-11T08:00,0.9,0.00,0.00,0.00,-4.9,19.7,332,34.9
2024-01-11T09:00,2.6,0.00,0.00,0.00,-4.2,26.3,337,39.6
2024-01-11T10:00,4.5,0.00,0.00,0.00,-2.3,26.7,339,40.7
2024-01-11T11:00,5.8,0.00,0.00,0.00,-1.3,28.8,347,44.3
2024-01-11T12:00,7.6,0.00,0.00,0.00,0.9,26.6,347,45.7
2024-01-11T13:00,8.2,0.00,0.00,0.00,1.4,27.1,349,42.1
2024-01-11T14:00,8.6,0.00,0.00,0.00,2.1,23.6,353,42.5
2024-01-11T15:00,8.2,0.00,0.00,0.00,2.0,21.3,2,36.7
2024-01-11T16:00,7.8,0.00,0.00,0.00,2.5,15.1,1,32.0
2024-01-11T17:00,6.3,0.00,0.00,0.00,2.0,9.0,360,22.0
2024-01-11T18:00,5.2,0.00,0.00,0.00,0.9,9.4,337,13.0
2024-01-11T19:00,3.8,0.00,0.00,0.00,-0.9,11.5,316,15.1
2024-01-11T20:00,2.9,0.00,0.00,0.00,-1.7,11.1,306,16.6
2024-01-11T21:00,1.8,0.00,0.00,0.00,-2.6,10.2,293,14.8
2024-01-11T22:00,1.3,0.00,0.00,0.00,-3.2,10.6,305,19.4
2024-01-11T23:00,0.1,0.00,0.00,0.00,-4.2,9.8,324,14.0
2024-01-12T00:00,-1.0,0.00,0.00,0.00,-5.0,8.6,327,13.0
2024-01-12T01:00,-1.6,0.00,0.00,0.00,-5.6,7.9,321,10.4
2024-01-12T02:00,-1.9,0.00,0.00,0.00,-6.0,8.8,325,11.2
2024-01-12T03:00,-2.8,0.00,0.00,0.00,-6.4,5.8,330,11.5
2024-01-12T04:00,-2.7,0.00,0.00,0.00,-6.7,7.9,344,9.0
2024-01-12T05:00,-2.7,0.00,0.00,0.00,-7.1,10.7,348,14.4
2024-01-12T06:00,-3.1,0.00,0.00,0.00,-7.5,10.5,344,14.8
2024-01-12T07:00,-3.2,0.00,0.00,0.00,-7.6,10.6,342,15.1
